"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Combined",14,3,1,1,3,137.597344901943,406.026341541463
"Combined",15,3,1,1,3,134.160788615293,443.386923482569
"Combined",16,3,1,1,3,162.983858376515,509.322161859101
"Combined",17,3,1,1,3,135.04174943128,457.412840877051
"Combined",18,3,1,1,3,156.149543332361,446.65834896135
"Combined",19,3,1,1,3,174.76930441713,422.31339233407
"Combined",20,3,1,1,3,105.451331259296,464.334208315626
"Combined",21,3,1,1,3,114.648341632261,468.66905027875
"Combined",22,3,1,1,3,115.597375131795,389.276138745263
"Combined",23,3,1,1,3,125.648316153551,345.632504381853
"Combined",24,3,1,1,3,64.3087290861153,400.636811204071
"Combined",25,3,1,1,3,207.465783314505,451.772145218417
"Combined",26,3,1,1,3,33.6459339232727,397.059538308079
"Combined",27,3,1,1,3,133.586691876606,469.557276347313
"Combined",28,3,1,1,3,127.39870180216,444.916271262628
"Combined",29,3,1,1,3,135.754130091216,404.991312782981
"Combined",30,3,1,1,3,130.196361942334,366.980259332776
"Combined",31,3,1,1,3,145.959489667799,447.513910431519
"Predator",1,4,1,1,3,125.100915125266,322.96054108981
"Predator",2,4,1,1,3,115.06604861665,272.313466741177
"Predator",3,4,1,1,3,92.4859811644778,285.809584295847
"Predator",4,4,1,1,3,192.596644875748,349.568507764845
"Predator",5,4,1,1,3,126.943873758043,394.98384173855
"Predator",6,4,1,1,3,139.701331033482,396.705742095108
"Predator",7,4,1,1,3,163.176392250495,403.683041988488
"Predator",8,4,1,1,3,110.407493075128,299.0653449689
"Predator",9,4,1,1,3,85.6422033035031,200.275948536302
"Predator",10,4,1,1,3,160.750769886783,365.14622414153
"Predator",11,4,1,1,3,192.616455928928,436.497283065985
"Predator",12,4,1,1,3,190.387742659932,426.994879922569
"Predator",13,4,1,1,3,197.489759130689,419.047831103769
"Predator",14,4,1,1,3,129.702629226264,318.531297407993
"Predator",15,4,1,1,3,83.8321526715812,301.757721258847
"Predator",16,4,1,1,3,135.865360417955,447.462399011508
"Predator",17,4,1,1,3,111.953588957356,331.470029221998
"Predator",18,4,1,1,3,129.509398368127,404.001370860812
"Predator",19,4,1,1,3,161.090130794032,378.04247889677
"Predator",20,4,1,1,3,143.450184190647,289.544144170305
"Predator",21,4,1,1,3,151.269518532786,295.277717742439
"Predator",22,4,1,1,3,180.639177475165,331.799848049569
"Predator",23,4,1,1,3,162.934565910395,310.545226258833
