"Treatment","Frame","Experiment","Day","Replicate","Pointer","NearestNeighbor","PairwiseDistance"
"Conspecific",12,2,1,1,"Vincent",164.637588500934,382.497365466491
"Conspecific",13,2,1,1,"Vincent",128.395213052462,351.452420714602
"Conspecific",14,2,1,1,"Vincent",166.357621661342,399.24802049109
"Conspecific",15,2,1,1,"Vincent",131.474190183947,466.581488040582
"Conspecific",16,2,1,1,"Vincent",159.109908712244,457.931872453815
"Conspecific",17,2,1,1,"Vincent",106.215034274984,392.198531868037
"Conspecific",18,2,1,1,"Vincent",104.050317647644,365.589214487426
"Conspecific",19,2,1,1,"Vincent",133.553777603446,348.756801173671
"Conspecific",20,2,1,1,"Vincent",165.707054580086,344.382789247837
"Conspecific",21,2,1,1,"Vincent",116.234467353581,268.2458371165
"Combined",1,3,1,1,"Robby",79.6643467018694,269.422557544932
"Combined",2,3,1,1,"Robby",114.836932150165,334.345415515792
"Combined",3,3,1,1,"Robby",161.626400130752,418.91833562025
"Combined",4,3,1,1,"Robby",135.49861244023,397.801128697903
"Combined",5,3,1,1,"Robby",148.1173591725,364.311861394061
"Combined",6,3,1,1,"Robby",119.990483200387,232.362559700174
"Combined",7,3,1,1,"Robby",101.834245165176,407.670738396635
"Combined",8,3,1,1,"Robby",141.958225719258,416.972496055934
"Combined",9,3,1,1,"Robby",180.869668652286,425.219845551455
"Combined",10,3,1,1,"Robby",131.559659016145,411.791948274484
"Combined",11,3,1,1,"Robby",106.954255096287,465.84328626845
"Combined",12,3,1,1,"Robby",151.404859251715,469.89209111105
"Combined",13,3,1,1,"Robby",146.767039244731,403.557120563523
"Combined",14,3,1,1,"Robby",103.374068336686,380.300185854512
"Combined",15,3,1,1,"Robby",209.498549119808,420.423672907674
"Combined",16,3,1,1,"Robby",164.04558806055,509.039421685027
"Combined",17,3,1,1,"Robby",175.032080526659,422.809173284035
"Combined",18,3,1,1,"Robby",115.878137622145,389.515171779835
"Combined",19,3,1,1,"Robby",207.689621828225,451.759057589791
"Combined",20,3,1,1,"Robby",126.520572884991,444.522223393583
"Combined",21,3,1,1,"Robby",146.60461343449,447.607870209295
"Predator",1,4,1,1,"Vincent",177.238932661137,333.398509918403
"Predator",2,4,1,1,"Vincent",154.382403578513,450.971001682551
"Predator",3,4,1,1,"Vincent",133.854960150596,385.341258969509
"Predator",4,4,1,1,"Vincent",167.422393812267,319.272998899296
"Predator",5,4,1,1,"Vincent",203.330295947318,361.366989603725
"Predator",6,4,1,1,"Vincent",93.8684514093764,426.771538045168
"Predator",7,4,1,1,"Vincent",140.933395807628,321.874679273468
"Predator",8,4,1,1,"Vincent",145.958149180843,313.19610629422
"Predator",9,4,1,1,"Vincent",189.504812189743,455.712985327944
"Predator",10,4,1,1,"Vincent",113.371799547247,344.174875412752
"Predator",11,4,1,1,"Vincent",125.46258198683,323.71950140301
"Predator",12,4,1,1,"Vincent",193.675621877113,350.133761031677
"Predator",13,4,1,1,"Vincent",163.486416936359,404.116708980644
"Predator",14,4,1,1,"Vincent",160.828418129996,366.060273997869
"Predator",15,4,1,1,"Vincent",197.934514605656,419.876071886423
"Predator",16,4,1,1,"Vincent",135.896945160387,447.187429680873
"Predator",17,4,1,1,"Vincent",191.058676707702,408.005792235001
"Predator",18,4,1,1,"Vincent",117.808767772977,270.693943540213
"Predator",19,4,1,1,"Vincent",128.944748513242,339.27973574736
"Predator",20,4,1,1,"Vincent",136.334272060485,399.709994826483
"Predator",21,4,1,1,"Vincent",165.68481133387,342.778098063744
"Conspecific",1,5,2,2,"Robby",168.892050132845,367.281347661647
"Conspecific",2,5,2,2,"Robby",186.80974039327,482.706053095086
"Conspecific",3,5,2,2,"Robby",129.867734653699,438.866191457999
"Conspecific",4,5,2,2,"Robby",148.593620942924,391.388688713965
"Conspecific",5,5,2,2,"Robby",127.648847851782,450.484837136803
"Conspecific",6,5,2,2,"Robby",122.571978308412,389.465207116947
"Conspecific",7,5,2,2,"Robby",124.279519168818,452.155604216324
"Conspecific",8,5,2,2,"Robby",129.759715231938,309.866200127876
"Conspecific",9,5,2,2,"Robby",177.610122952143,441.070420204725
"Conspecific",10,5,2,2,"Robby",79.1859304936218,243.612383034855
"Conspecific",11,5,2,2,"Robby",126.614189765036,286.934698634437
"Conspecific",12,5,2,2,"Robby",152.163632064089,393.67944856931
"Conspecific",13,5,2,2,"Robby",211.127313483498,446.633528213159
"Conspecific",14,5,2,2,"Robby",107.927418316707,329.793860481187
"Conspecific",15,5,2,2,"Robby",154.919180562304,415.76388997936
"Conspecific",16,5,2,2,"Robby",102.142051106254,331.324532965713
"Conspecific",17,5,2,2,"Robby",58.4617818622084,209.715099874771
"Conspecific",18,5,2,2,"Robby",130.522016707184,258.28110772353
"Conspecific",19,5,2,2,"Robby",96.1965591213739,282.976686502072
"Conspecific",20,5,2,2,"Robby",135.953582911439,391.272294399463
"Conspecific",21,5,2,2,"Robby",129.271908389824,339.526687627952
"Combined",1,6,2,2,"Vincent",181.699693954573,386.47780172361
"Combined",2,6,2,2,"Vincent",119.931899967025,413.26516409824
"Combined",3,6,2,2,"Vincent",121.66119703702,433.513917139274
"Combined",4,6,2,2,"Vincent",175.539013576742,435.851791378327
"Combined",5,6,2,2,"Vincent",152.491465741613,322.572048445793
"Combined",6,6,2,2,"Vincent",171.300257608479,361.640229937054
"Combined",7,6,2,2,"Vincent",191.324038568042,456.042735313673
